sha256,local_path
0005a0e7266e2e58167695110e5226e8ffacf5f594bb5ec006d98000992cac81,raw/hf-objaverse-v1/glbs/000-053/3b95d724c7644b8283766c421634394d.glb
000380336e84f141eabb3539c47933575cbb6103aef28197a81ff11d9d53a853,raw/hf-objaverse-v1/glbs/000-063/9c422ebdbebd4dbbb73e2a31ec1363e3.glb
0000a09b3b22da52cd0a55918c511184e5bfe4adc846e7a522bc6b227a1781a3,raw/hf-objaverse-v1/glbs/000-016/4f7f22ac72a9470b9b4f5bd1e202e598.glb
000060a495b381230860ca7315a1b585fabc651cf0833b72b6f481771cca4277,raw/hf-objaverse-v1/glbs/000-113/7aca8c05583c48b8a3bfae6d043e331b.glb
0007b69c7d1b23dd7ef4e9e5cb690de8cbb70de0ce1a9b2d57143551bb54e572,raw/hf-objaverse-v1/glbs/000-052/11cf2d9e4fb246aea44b7e40daa040a3.glb
00038ae9c9a6f25c39e7392e7729e98ede7959992a07d6498bfc9a74d5818609,raw/hf-objaverse-v1/glbs/000-073/5b3026ac4c8040d5a160687c013a39fd.glb
00079e5a1d5bf19ecd2fa5b5f5f301cf97b06e31803ddf4dd865452b3e4c6c3f,raw/hf-objaverse-v1/glbs/000-037/0a2ff627a48a479582559fb678132854.glb
000045aad61c956b45fc468b2b2ec954636e5f647f1c1995854d46ecaa525e10,raw/hf-objaverse-v1/glbs/000-069/18e8e405446849afb22b3760d3c73a31.glb
0002f8675afaa4c6cb3c0c6a57dbdc3e193e92daef8d17fb99fc85d283c08841,raw/hf-objaverse-v1/glbs/000-078/a1307a74fb2a4673af99ad9f2fbfbb7c.glb
00052f6245a219734ba2b1c0721726db84588cf1caaa9202e080c9576ba6afcf,raw/hf-objaverse-v1/glbs/000-006/07c6b932ded349b39e45e0e8de48f4e6.glb
00087f83262e10c5b4b56019ae0345f0b68b02f0e09f5487836e248d06f19bd1,raw/hf-objaverse-v1/glbs/000-126/e86393ea772a44939b145f902dd82a45.glb
0000b62fec1d42b484fcf80a248c6d65afebe02e021e495db051d5b47d001a32,raw/hf-objaverse-v1/glbs/000-076/eda80f39ec724505899e52ed86dff215.glb
0001aa38f9609bf802f55536e9a3b3b1ff4ababe22ea6ae6a3258b793d59ceff,raw/hf-objaverse-v1/glbs/000-152/cf1bcc233f624995b78e39ca65c2f5d0.glb
0006a9fc45ca09f7917fcf6a880603fcd5eb8f243dca46d7d7d25726bfbc102d,raw/hf-objaverse-v1/glbs/000-137/42af5cd91cab4e22bd848d7e9f135385.glb
0003ef715eb294a7b9de223354b81c9ff41a2e88113abcf175be5cfa96a727c6,raw/hf-objaverse-v1/glbs/000-140/5a2d6e397a8945eebf02064c63f88866.glb
0001f7e37681b124e6756a0c6f9faeebbecf583a5ee3e92e2e4257b87726f911,raw/hf-objaverse-v1/glbs/000-050/6fc96ac2654f461cb6f7fad43b99f224.glb
00028a923f60e1d00e3144d1dbae651532ea52d53f3bf59547565895aff876cb,raw/hf-objaverse-v1/glbs/000-086/6eba14662bd048f9bc1ca10e63b5622f.glb
00039205a74885e80ae7a91ca2a10fc9a6ee7b20ce916f04054cb7e21c67ea37,raw/hf-objaverse-v1/glbs/000-130/342d8cc097784402a2db7671fd4f5186.glb
000223fb1496e6885cc20ed47db02763a282c71e91e7a5ca2d3367b72a6c1067,raw/hf-objaverse-v1/glbs/000-096/e84332ba9de34d6cb36b3271d35a56ca.glb
0002ff1e54d15aa79f55d2b8e4e7480d4e6c9c46841e23af5bf0c1db587a10b3,raw/hf-objaverse-v1/glbs/000-099/ee1cc32809ab4edeba79d5ccfe3a7729.glb
00037b98ba7911f160865576233b872993ca46bdfdc1a71d2384a4e85ea3026f,raw/hf-objaverse-v1/glbs/000-079/615fd1374bea4eb6bc1689de109f3b23.glb
